축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율,도,시군구,회계연도,지역명,행사축제명,총비용,사업수익,순원가,시작월,종료월,index
광안리어방축제,2022,3,68438.0,104937.0,189.0,173564.0,57854.6667,42468.0,36.2,127404.0,46160.0,39.43,60.46,0.11,36.23,부산,수영구,2022.0,부산,광안리어방축제,775000000.0,75000000.0,700000000.0,10.0,10.0,광안리어방축제2022
광안리어방축제,2023,3,64075.0,115398.0,338.0,179811.0,59937.0,57854.6667,3.6,173564.0,6247.0,35.63,64.18,0.19,3.6,부산,수영구,2023.0,부산,광안리어방축제,1075000000.0,75000000.0,1000000000.0,5.0,5.0,광안리어방축제2023
광주김치축제,2018,4,48686.0,33154.0,57.0,81897.0,20474.25,,,,81897.0,59.45,40.48,0.07,0.0,광주,서구,2018.0,광주,광주세계김치축제,896642900.0,0.0,896642900.0,10.0,10.0,광주김치축제2018
광주김치축제,2019,3,40874.0,29360.0,51.0,70285.0,23428.3333,20474.25,14.4,81897.0,-11612.0,58.15,41.77,0.07,-14.18,광주,서구,2019.0,광주,광주세계김치축제,1133952100.0,0.0,1133952100.0,10.0,10.0,광주김치축제2019
광주김치축제,2022,4,159300.0,170000.0,38.0,329338.0,82334.5,23428.3333,251.4,70285.0,259053.0,48.37,51.62,0.01,368.58,광주,서구,2022.0,광주,광주세계김치축제,1013233150.0,0.0,1013233150.0,10.0,10.0,광주김치축제2022
광주김치축제,2023,4,148203.0,160224.0,436.0,308863.0,77215.75,82334.5,-6.2,329338.0,-20475.0,47.98,51.88,0.14,-6.22,광주,서구,2023.0,광주,광주세계김치축제,1163876000.0,0.0,1163876000.0,11.0,11.0,광주김치축제2023
괴산고추축제,2018,4,38254.0,53578.0,75.0,91907.0,22976.75,,,,91907.0,41.62,58.3,0.08,0.0,충북,괴산군,2018.0,충북,괴산고추축제,0.0,0.0,0.0,8.0,9.0,괴산고추축제2018
괴산고추축제,2019,4,39975.0,70971.0,152.0,111098.0,27774.5,22976.75,20.9,91907.0,19191.0,35.98,63.88,0.14,20.88,충북,괴산군,2019.0,충북,괴산고추축제,991815790.0,0.0,991815790.0,8.0,9.0,괴산고추축제2019
괴산고추축제,2022,4,50340.0,61335.0,9.0,111684.0,27921.0,27774.5,0.5,111098.0,586.0,45.07,54.92,0.01,0.53,충북,괴산군,2022.0,충북,괴산고추축제,1129331000.0,0.0,1129331000.0,9.0,9.0,괴산고추축제2022
괴산고추축제,2023,4,52928.0,79873.0,58.0,132859.0,33214.75,27921.0,19.0,111684.0,21175.0,39.84,60.12,0.04,18.96,충북,괴산군,2023.0,충북,괴산고추축제,1140000000.0,0.0,1140000000.0,8.0,9.0,괴산고추축제2023
