축제명,연령대,남성비율,여성비율
문경찻사발축제,70세 이상,2.8,2.5
문경찻사발축제,60~69세,9.7,7.3
문경찻사발축제,50~59세,14.2,12.1
문경찻사발축제,40~49세,11.2,8.7
문경찻사발축제,30~39세,8.4,6.6
문경찻사발축제,20~29세,5.6,4.7
문경찻사발축제,10~19세,2.8,2.6
문경찻사발축제,0~9세,0.5,0.5
