축제명,연령대,남성비율,여성비율
탐라문화제,70세 이상,2.7,3.2
탐라문화제,60~69세,7.8,7.4
탐라문화제,50~59세,10.3,10.9
탐라문화제,40~49세,8.9,9.2
탐라문화제,30~39세,8.4,8.3
탐라문화제,20~29세,7.3,9.3
탐라문화제,10~19세,2.5,2.8
탐라문화제,0~9세,0.3,0.5
