축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
수원화성문화제,2018,3,49361.0,123877.0,1327.0,174565.0,58188.3333,,,N/A,174565.0,28.28,70.96,0.76,0.0
수원화성문화제,2019,4,63144.0,185079.0,1909.0,250132.0,62533.0,58188.3333,7.5,174565,75567.0,25.24,73.99,0.76,43.29
수원화성문화제,2022,3,49918.0,148169.0,70.0,198157.0,66052.3333,62533.0,5.6,250132,-51975.0,25.19,74.77,0.04,-20.78
수원화성문화제,2023,3,60885.0,195416.0,622.0,256923.0,85641.0,66052.3333,29.7,198157,58766.0,23.7,76.06,0.24,29.66
