축제명,연령대,남성비율,여성비율
여주오곡나루축제,70세 이상,3.4,2.9
여주오곡나루축제,60~69세,8.2,7.5
여주오곡나루축제,50~59세,11.4,11.6
여주오곡나루축제,40~49세,9.5,9.2
여주오곡나루축제,30~39세,8.0,7.2
여주오곡나루축제,20~29세,6.2,6.0
여주오곡나루축제,10~19세,3.6,3.5
여주오곡나루축제,0~9세,0.8,0.9
