축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
청송사과축제,2018,4,28770.0,49876.0,54.0,78700.0,19675.0,,,N/A,78700.0,36.56,63.37,0.07,0.0
청송사과축제,2019,5,42731.0,70436.0,102.0,113269.0,22653.8,19675.0,15.1,78700,34569.0,37.73,62.18,0.09,43.93
청송사과축제,2022,5,51065.0,49028.0,1.0,100094.0,20018.8,22653.8,-11.6,113269,-13175.0,51.02,48.98,0.0,-11.63
청송사과축제,2023,5,49000.0,71646.0,22.0,120668.0,24133.6,20018.8,20.6,100094,20574.0,40.61,59.37,0.02,20.55
