축제명,연령대,남성비율,여성비율
함평나비축제,70세 이상,3.6,3.5
함평나비축제,60~69세,9.0,7.6
함평나비축제,50~59세,11.9,11.7
함평나비축제,40~49세,10.1,8.7
함평나비축제,30~39세,7.8,8.2
함평나비축제,20~29세,4.8,4.9
함평나비축제,10~19세,3.1,3.4
함평나비축제,0~9세,0.8,0.9
