축제명,연령대,남성비율,여성비율
영동난계국악축제,70세 이상,3.3,3.5
영동난계국악축제,60~69세,8.0,7.1
영동난계국악축제,50~59세,11.9,10.8
영동난계국악축제,40~49세,9.0,8.4
영동난계국악축제,30~39세,6.3,5.7
영동난계국악축제,20~29세,7.4,7.0
영동난계국악축제,10~19세,5.3,4.8
영동난계국악축제,0~9세,0.6,0.7
