축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
곡성세계장미축제,2018,10,28680.0,286974.0,83.0,315737.0,31573.7,,,N/A,315737.0,9.08,90.89,0.03,0.0
곡성세계장미축제,2019,10,30547.0,224771.0,175.0,255493.0,25549.3,31573.7,-19.1,315737,-60244.0,11.96,87.98,0.07,-19.08
곡성세계장미축제,2022,17,40689.0,257843.0,9.0,298541.0,17561.2353,25549.3,-31.3,255493,43048.0,13.63,86.37,0.0,16.85
곡성세계장미축제,2023,10,35434.0,260955.0,17.0,296406.0,29640.6,17561.2353,68.8,298541,-2135.0,11.95,88.04,0.01,-0.72
