축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
강진청자축제,2018,7,20025.0,38289.0,316.0,58630.0,8375.7143,,,N/A,58630.0,34.15,65.31,0.54,0.0
강진청자축제,2019,7,20437.0,34432.0,75.0,54944.0,7849.1429,8375.7143,-6.3,58630,-3686.0,37.2,62.67,0.14,-6.29
강진청자축제,2023,7,29091.0,54965.0,1.0,84057.0,12008.1429,7849.1429,53.0,54944,29113.0,34.61,65.39,0.0,52.99
