축제명,연령대,남성비율,여성비율
밀양아리랑대축제,70세 이상,3.3,3.1
밀양아리랑대축제,60~69세,8.5,7.9
밀양아리랑대축제,50~59세,10.5,11.8
밀양아리랑대축제,40~49세,8.7,9.2
밀양아리랑대축제,30~39세,7.0,6.7
밀양아리랑대축제,20~29세,6.1,5.9
밀양아리랑대축제,10~19세,4.9,4.5
밀양아리랑대축제,0~9세,0.8,1.0
