축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
진도신비의바닷길축제,2018,4,11300.0,23569.0,428.0,35297.0,8824.25,,,N/A,35297.0,32.01,66.77,1.21,0.0
진도신비의바닷길축제,2019,4,11563.0,26449.0,271.0,38283.0,9570.75,8824.25,8.5,35297,2986.0,30.2,69.09,0.71,8.46
진도신비의바닷길축제,2023,3,12120.0,21158.0,7.0,33285.0,11095.0,9570.75,15.9,38283,-4998.0,36.41,63.57,0.02,-13.06
