축제명,연령대,남성비율,여성비율
대구치맥페스티벌,70세 이상,3.2,2.2
대구치맥페스티벌,60~69세,8.0,5.2
대구치맥페스티벌,50~59세,9.6,8.7
대구치맥페스티벌,40~49세,7.5,6.4
대구치맥페스티벌,30~39세,8.7,6.3
대구치맥페스티벌,20~29세,13.0,12.2
대구치맥페스티벌,10~19세,4.0,4.6
대구치맥페스티벌,0~9세,0.2,0.2
