축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
인천펜타포트음악축제,2018,3,59785.0,79304.0,670.0,139759.0,46586.3333,,,N/A,139759.0,42.78,56.74,0.48,0.0
인천펜타포트음악축제,2019,3,56514.0,62168.0,823.0,119505.0,39835.0,46586.3333,-14.5,139759,-20254.0,47.29,52.02,0.69,-14.49
인천펜타포트음악축제,2022,3,68316.0,126659.0,331.0,195306.0,65102.0,39835.0,63.4,119505,75801.0,34.98,64.85,0.17,63.43
인천펜타포트음악축제,2023,3,67738.0,109942.0,474.0,178154.0,59384.6667,65102.0,-8.8,195306,-17152.0,38.02,61.71,0.27,-8.78
