축제명,연령대,남성비율,여성비율
안성맞춤남사당바우덕이축제,70세 이상,3.4,2.9
안성맞춤남사당바우덕이축제,60~69세,10.1,8.4
안성맞춤남사당바우덕이축제,50~59세,12.7,11.0
안성맞춤남사당바우덕이축제,40~49세,10.3,8.0
안성맞춤남사당바우덕이축제,30~39세,8.5,7.7
안성맞춤남사당바우덕이축제,20~29세,5.4,5.2
안성맞춤남사당바우덕이축제,10~19세,2.4,2.4
안성맞춤남사당바우덕이축제,0~9세,0.7,0.9
