축제명,연령대,남성비율,여성비율
서산해미읍성축제,70세 이상,4.4,3.4
서산해미읍성축제,60~69세,8.9,7.1
서산해미읍성축제,50~59세,10.9,10.0
서산해미읍성축제,40~49세,9.7,7.8
서산해미읍성축제,30~39세,7.6,7.3
서산해미읍성축제,20~29세,8.3,6.4
서산해미읍성축제,10~19세,3.3,3.4
서산해미읍성축제,0~9세,0.7,0.7
