축제명,연령대,남성비율,여성비율
한산모시문화제,70세 이상,4.8,4.0
한산모시문화제,60~69세,10.7,9.3
한산모시문화제,50~59세,12.5,12.7
한산모시문화제,40~49세,8.6,8.2
한산모시문화제,30~39세,5.6,5.6
한산모시문화제,20~29세,4.5,3.9
한산모시문화제,10~19세,3.6,5.0
한산모시문화제,0~9세,0.4,0.6
