축제명,연령대,남성비율,여성비율
영암왕인문화축제,70세 이상,4.5,3.3
영암왕인문화축제,60~69세,9.4,7.8
영암왕인문화축제,50~59세,12.4,12.8
영암왕인문화축제,40~49세,8.8,8.8
영암왕인문화축제,30~39세,6.8,7.2
영암왕인문화축제,20~29세,5.6,5.9
영암왕인문화축제,10~19세,2.6,2.9
영암왕인문화축제,0~9세,0.5,0.6
