축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
음성품바축제,2018,5,85312.0,90314.0,149.0,175775.0,35155.0,,,N/A,175775.0,48.53,51.38,0.08,0.0
음성품바축제,2019,5,89176.0,103489.0,412.0,193077.0,38615.4,35155.0,9.8,175775,17302.0,46.19,53.6,0.21,9.84
음성품바축제,2022,5,105161.0,89717.0,15.0,194893.0,38978.6,38615.4,0.9,193077,1816.0,53.96,46.03,0.01,0.94
음성품바축제,2023,5,106527.0,78421.0,82.0,185030.0,37006.0,38978.6,-5.1,194893,-9863.0,57.57,42.38,0.04,-5.06
