축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
횡성한우축제,2018,5,74833.0,102837.0,175.0,177845.0,35569.0,,,N/A,177845.0,42.08,57.82,0.1,0.0
횡성한우축제,2019,5,69440.0,103929.0,1748.0,175117.0,35023.4,35569.0,-1.5,177845,-2728.0,39.65,59.35,1.0,-1.53
횡성한우축제,2022,5,92932.0,105690.0,16.0,198638.0,39727.6,35023.4,13.4,175117,23521.0,46.78,53.21,0.01,13.43
횡성한우축제,2023,5,90823.0,93957.0,54.0,184834.0,36966.8,39727.6,-6.9,198638,-13804.0,49.14,50.83,0.03,-6.95
