绵力疙,楷飞措,巢己厚啦,咯己厚啦
家贰器备绵力,70技 捞惑,2.1,2.0
家贰器备绵力,60~69技,6.9,5.3
家贰器备绵力,50~59技,11.5,9.8
家贰器备绵力,40~49技,11.6,8.8
家贰器备绵力,30~39技,11.4,7.7
家贰器备绵力,20~29技,7.6,6.4
家贰器备绵力,10~19技,3.8,3.6
家贰器备绵力,0~9技,0.7,0.9
