축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
대구치맥페스티벌,2018,5,105973.0,147276.0,467.0,253716.0,50743.2,,,N/A,253716.0,41.77,58.05,0.18,0.0
대구치맥페스티벌,2019,5,108254.0,140051.0,962.0,249267.0,49853.4,50743.2,-1.8,253716,-4449.0,43.43,56.19,0.39,-1.75
대구치맥페스티벌,2022,5,85961.0,141431.0,12.0,227404.0,45480.8,49853.4,-8.8,249267,-21863.0,37.8,62.19,0.01,-8.77
대구치맥페스티벌,2023,5,96663.0,130011.0,359.0,227033.0,45406.6,45480.8,-0.2,227404,-371.0,42.58,57.27,0.16,-0.16
