축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
통영한산대첩축제,2018,5,50971.0,49962.0,85.0,101018.0,20203.6,,,N/A,101018.0,50.46,49.46,0.08,0.0
통영한산대첩축제,2019,5,33529.0,29809.0,119.0,63457.0,12691.4,20203.6,-37.2,101018,-37561.0,52.84,46.98,0.19,-37.18
통영한산대첩축제,2022,9,63027.0,68031.0,9.0,131067.0,14563.0,12691.4,14.7,63457,67610.0,48.09,51.91,0.01,106.54
통영한산대첩축제,2023,9,57810.0,47444.0,27.0,105281.0,11697.8889,14563.0,-19.7,131067,-25786.0,54.91,45.06,0.03,-19.67
