축제명,연령대,남성비율,여성비율
괴산고추축제,70세 이상,3.8,2.9
괴산고추축제,60~69세,11.2,8.2
괴산고추축제,50~59세,13.0,10.4
괴산고추축제,40~49세,8.7,6.1
괴산고추축제,30~39세,6.4,4.4
괴산고추축제,20~29세,11.5,5.6
괴산고추축제,10~19세,3.5,3.5
괴산고추축제,0~9세,0.3,0.5
