축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
금산인삼축제,2018,10,215278.0,224894.0,443.0,440615.0,44061.5,,,N/A,440615.0,48.86,51.04,0.1,0.0
금산인삼축제,2019,10,232728.0,225600.0,2305.0,460633.0,46063.3,44061.5,4.5,440615,20018.0,50.52,48.98,0.5,4.54
금산인삼축제,2022,11,300315.0,267140.0,56.0,567511.0,51591.9091,46063.3,12.0,460633,106878.0,52.92,47.07,0.01,23.2
금산인삼축제,2023,10,297531.0,253536.0,432.0,551499.0,55149.9,51591.9091,6.9,567511,-16012.0,53.95,45.97,0.08,-2.82
