축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
연천구석기축제,2018,4,60947.0,74018.0,49.0,135014.0,33753.5,,,N/A,135014.0,45.14,54.82,0.04,0.0
연천구석기축제,2019,4,60630.0,74238.0,88.0,134956.0,33739.0,33753.5,-0.0,135014,-58.0,44.93,55.01,0.07,-0.04
연천구석기축제,2022,4,69787.0,64754.0,15.0,134556.0,33639.0,33739.0,-0.3,134956,-400.0,51.86,48.12,0.01,-0.3
연천구석기축제,2023,4,69462.0,64777.0,18.0,134257.0,33564.25,33639.0,-0.2,134556,-299.0,51.74,48.25,0.01,-0.22
