축제명,연령대,남성비율,여성비율
임실N치즈축제,70세 이상,3.3,3.0
임실N치즈축제,60~69세,10.0,9.1
임실N치즈축제,50~59세,12.3,12.7
임실N치즈축제,40~49세,9.6,8.9
임실N치즈축제,30~39세,7.5,7.8
임실N치즈축제,20~29세,5.0,5.2
임실N치즈축제,10~19세,2.1,2.3
임실N치즈축제,0~9세,0.5,0.7
