축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
영산강서창들녘억새축제,2018,3,52910.0,68684.0,135.0,121729.0,40576.3333,,,N/A,121729.0,43.47,56.42,0.11,0.0
영산강서창들녘억새축제,2019,3,51733.0,67105.0,44.0,118882.0,39627.3333,40576.3333,-2.3,121729,-2847.0,43.52,56.45,0.04,-2.34
영산강서창들녘억새축제,2022,4,77392.0,87811.0,16.0,165219.0,41304.75,39627.3333,4.2,118882,46337.0,46.84,53.15,0.01,38.98
영산강서창들녘억새축제,2023,5,103247.0,108290.0,60.0,211597.0,42319.4,41304.75,2.5,165219,46378.0,48.79,51.18,0.03,28.07
