축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
순창장류축제,2018,3,21077.0,45997.0,64.0,67138.0,22379.3333,,,N/A,67138.0,31.39,68.51,0.1,0.0
순창장류축제,2019,3,21171.0,47441.0,22.0,68634.0,22878.0,22379.3333,2.2,67138,1496.0,30.85,69.12,0.03,2.23
순창장류축제,2022,3,30150.0,53900.0,2.0,84052.0,28017.3333,22878.0,22.5,68634,15418.0,35.87,64.13,0.0,22.46
순창장류축제,2023,3,30582.0,43492.0,56.0,74130.0,24710.0,28017.3333,-11.8,84052,-9922.0,41.25,58.67,0.08,-11.8
