축제명,연령대,남성비율,여성비율
곡성세계장미축제,70세 이상,3.4,3.4
곡성세계장미축제,60~69세,9.2,9.1
곡성세계장미축제,50~59세,11.7,14.8
곡성세계장미축제,40~49세,8.5,8.8
곡성세계장미축제,30~39세,6.5,7.4
곡성세계장미축제,20~29세,4.9,6.7
곡성세계장미축제,10~19세,2.3,2.6
곡성세계장미축제,0~9세,0.4,0.5
