회계연도,지역명,행사축제명,총비용,사업수익,순원가,시작월,종료월,index
2018,대구,대구아트스퀘어,600000000,214197280,385802720,11,12,대구아트스퀘어2018
2018,대구,대구국제재즈축제,549925000,450000000,99925000,9,9,대구국제재즈축제2018
2018,대구,대한민국 도시농업박람회,600000000,300000000,300000000,9,9,대한민국 도시농업박람회2018
2018,대구,대구치맥페스티벌,1848087691,0,1848087691,7,7,대구치맥페스티벌2018
2018,대구,대구국제패션문화페스티벌,623429709,320000000,303429709,10,10,대구국제패션문화페스티벌2018
2018,대구,문화재야행프로그램,359814600,0,359814600,8,9,문화재야행프로그램2018
2018,대구,100대 피아노콘서트,603556997,150000000,453556997,9,9,100대 피아노콘서트2018
2018,인천,펜타포트 음악축제,2500000000,0,2500000000,1,12,펜타포트 음악축제2018
2018,인천,인천한류관광콘서트,819992975,320000000,499992975,9,9,인천한류관광콘서트2018
2018,인천,제17회 세계검도선수권대회,749465159,0,749465159,9,9,제17회 세계검도선수권대회2018
2018,인천,LPGA 2018 UL 인터내셔널 크라운 대회,801699112,0,801699112,10,10,LPGA 2018 UL 인터내셔널 크라운 대회2018
2018,인천,개항장 컬쳐나잇,426876300,320157230,106719070,9,10,개항장 컬쳐나잇2018
2018,인천,소래포구축제,459839410,0,459839410,10,10,소래포구축제2018
2018,인천,부평풍물대축제,625851010,0,625851010,10,10,부평풍물대축제2018
2018,인천,정서진피크닉클래식,499822000,0,499822000,9,9,정서진피크닉클래식2018
2018,인천,고려역사문화제,565217370,0,565217370,7,7,고려역사문화제2018
2018,광주,광주세계김치축제,896642900,0,896642900,10,10,광주세계김치축제2018
2018,광주,광주ACE Fair,1397089018,698507230,698581788,9,9,광주ACE Fair2018
2018,광주,광주비엔날레,8878974000,1800000000,7078974000,9,11,광주비엔날레2018
2018,광주,광주프린지페스티벌,1470201940,0,1470201940,2,12,광주프린지페스티벌2018
2018,광주,공연장상주단체육성지원,668375800,334187900,334187900,1,12,공연장상주단체육성지원2018
2018,광주,추억의충장축제,1332130120,1010000000,322130120,1,12,추억의충장축제2018
2018,광주,아시아음식문화지구 조성사업,317243600,0,317243600,1,12,아시아음식문화지구 조성사업2018
2018,대전,대전국제와인페어,900000000,0,900000000,8,9,대전국제와인페어2018
2018,대전,대전사이언스페스티벌,1215000000,15000000,1200000000,10,10,대전사이언스페스티벌2018
2018,대전,전국 장애인 체육대회 개최 및 참가,538004790,0,538004790,1,12,전국 장애인 체육대회 개최 및 참가2018
2018,대전,대전비엔날레,864716855,0,864716855,7,10,대전비엔날레2018
2018,대전,효문화 뿌리축제,829284800,130000000,699284800,10,10,효문화 뿌리축제2018
2018,대전,대전 서구힐링 아트페스티벌,631898000,0,631898000,5,5,대전 서구힐링 아트페스티벌2018
2018,대전,2018 유성온천문화축제,811072060,0,811072060,5,5,2018 유성온천문화축제2018
