축제명,개최년도,축제기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율,index_x,도,시군구,normalized_index_x,df1_index,df2_index,회계연도,지역명,행사축제명,총비용,사업수익,순원가,시작월,종료월,index_y,normalized_index_y
원주한지문화제,2018,4,166858,42132,208,209198,52299.5,,,,209198,79.76,20.14,0.1,0,원주한지문화제2018,강원,원주시,원주한지문화제2018,,,,,,,,,,,,
원주한지문화제,2019,5,147824,48405,47,196276,39255.2,52299.5,-24.9,209198,-12922,75.31,24.66,0.02,-6.18,원주한지문화제2019,강원,원주시,원주한지문화제2019,,,,,,,,,,,,
원주한지문화제,2022,11,651048,235547,107,886702,80609.2727,39255.2,105.3,196276,690426,73.42,26.56,0.01,351.76,원주한지문화제2022,강원,원주시,원주한지문화제2022,,,,,,,,,,,,
원주한지문화제,2023,10,627165,198065,173,825403,82540.3,80609.2727,2.4,886702,-61299,75.98,24,0.02,-6.91,원주한지문화제2023,강원,원주시,원주한지문화제2023,,,,,,,,,,,,
음성품바축제,2018,5,85312,90314,149,175775,35155,,,,175775,48.53,51.38,0.08,0,음성품바축제2018,충북,음성군,음성품바축제2018,음성품바축제2018,음성품바축제2018,2018,충북,음성품바축제,657099900,160000000,497099900,5,5,음성품바축제2018,음성품바축제2018
음성품바축제,2019,5,89176,103489,412,193077,38615.4,35155,9.8,175775,17302,46.19,53.6,0.21,9.84,음성품바축제2019,충북,음성군,음성품바축제2019,음성품바축제2019,음성품바축제2019,2019,충북,음성품바축제,738025000,140000000,598025000,5,5,음성품바축제2019,음성품바축제2019
음성품바축제,2022,5,105161,89717,15,194893,38978.6,38615.4,0.9,193077,1816,53.96,46.03,0.01,0.94,음성품바축제2022,충북,음성군,음성품바축제2022,,,,,,,,,,,,
음성품바축제,2023,5,106527,78421,82,185030,37006,38978.6,-5.1,194893,-9863,57.57,42.38,0.04,-5.06,음성품바축제2023,충북,음성군,음성품바축제2023,,,,,,,,,,,,
이천쌀문화축제,2018,5,93230,56587,173,149990,29998,,,,149990,62.16,37.73,0.12,0,이천쌀문화축제2018,경기,이천시,이천쌀문화축제2018,이천쌀문화축제2018,이천쌀문화축제2018,2018,경기,이천쌀문화축제,737900000,0,737900000,10,10,이천쌀문화축제2018,이천쌀문화축제2018
이천쌀문화축제,2022,5,39766,55812,16,95594,19118.8,29998,-36.3,149990,-54396,41.6,58.38,0.02,-36.27,이천쌀문화축제2022,경기,이천시,이천쌀문화축제2022,,,,,,,,,,,,
이천쌀문화축제,2023,5,42714,59770,59,102543,20508.6,19118.8,7.3,95594,6949,41.65,58.29,0.06,7.27,이천쌀문화축제2023,경기,이천시,이천쌀문화축제2023,이천쌀문화축제2023,이천쌀문화축제2023,2023,경기,이천쌀문화축제,1481380047,100000000,1381380047,10,10,이천쌀문화축제2023,이천쌀문화축제2023
인천펜타포트음악축제,2018,3,59785,79304,670,139759,46586.3333,,,,139759,42.78,56.74,0.48,0,인천펜타포트음악축제2018,인천,연수구,인천펜타포트음악축제2018,인천펜타포트음악축제2018,펜타포트 음악축제2018,2018,인천,펜타포트 음악축제,2500000000,0,2500000000,1,12,펜타포트 음악축제2018,펜타포트음악축제2018
인천펜타포트음악축제,2019,3,56514,62168,823,119505,39835,46586.3333,-14.5,139759,-20254,47.29,52.02,0.69,-14.49,인천펜타포트음악축제2019,인천,연수구,인천펜타포트음악축제2019,인천펜타포트음악축제2019,펜타포트 음악축제2019,2019,인천,펜타포트 음악축제,1061827646,0,1061827646,8,8,펜타포트 음악축제2019,펜타포트음악축제2019
인천펜타포트음악축제,2022,3,68316,126659,331,195306,65102,39835,63.4,119505,75801,34.98,64.85,0.17,63.43,인천펜타포트음악축제2022,인천,연수구,인천펜타포트음악축제2022,,,,,,,,,,,,
인천펜타포트음악축제,2023,3,67738,109942,474,178154,59384.6667,65102,-8.8,195306,-17152,38.02,61.71,0.27,-8.78,인천펜타포트음악축제2023,인천,연수구,인천펜타포트음악축제2023,,,,,,,,,,,,
임실N치즈축제,2018,4,10574,44128,41,54743,13685.75,,,,54743,19.32,80.61,0.07,0,임실N치즈축제2018,전북,임실군,임실n치즈축제2018,임실N치즈축제2018,임실N치즈축제2018,2018,전북,임실N치즈축제,842440420,410000000,432440420,10,10,임실N치즈축제2018,임실n치즈축제2018
임실N치즈축제,2019,4,11779,71458,58,83295,20823.75,13685.75,52.2,54743,28552,14.14,85.79,0.07,52.16,임실N치즈축제2019,전북,임실군,임실n치즈축제2019,임실N치즈축제2019,임실N치즈축제2019,2019,전북,임실N치즈축제,842440000,410000000,432440000,10,10,임실N치즈축제2019,임실n치즈축제2019
임실N치즈축제,2022,4,13075,87213,3,100291,25072.75,20823.75,20.4,83295,16996,13.04,86.96,0,20.4,임실N치즈축제2022,전북,임실군,임실n치즈축제2022,임실N치즈축제2022,임실N치즈축제2022,2022,전북,임실N치즈축제,930000000,505000000,425000000,10,10,임실N치즈축제2022,임실n치즈축제2022
임실N치즈축제,2023,4,13923,79355,41,93319,23329.75,25072.75,-7,100291,-6972,14.92,85.04,0.04,-6.95,임실N치즈축제2023,전북,임실군,임실n치즈축제2023,임실N치즈축제2023,임실N치즈축제2023,2023,전북,임실N치즈축제,1030000000,0,1030000000,10,10,임실N치즈축제2023,임실n치즈축제2023
정남진장흥물축제,2018,7,107219,125625,196,233040,33291.4286,,,,233040,46.01,53.91,0.08,0,정남진장흥물축제2018,전남,장흥군,정남진장흥물축제2018,정남진장흥물축제2018,정남진장흥물축제2018,2018,전남,정남진장흥물축제,1500000000,0,1500000000,7,8,정남진장흥물축제2018,정남진장흥물축제2018
