그룹명,구분명,구분값,index
비축제기간,외부방문자 유입,0.1016054665318318,강진청자축제2023
비축제기간,현지인방문자 유입,0.1502364644487932,강진청자축제2023
비축제기간,내비게이션 검색량,0.1159211159211159,강진청자축제2023
비축제기간,관광소비,0.4606036215595241,강진청자축제2023
비축제기간,축제지 집중률,0.2168729645700472,강진청자축제2023
축제기간,외부방문자 유입,0.0,강진청자축제2022
축제기간,현지인방문자 유입,0.0,강진청자축제2022
축제기간,내비게이션 검색량,0.0,강진청자축제2022
축제기간,관광소비,0.0,강진청자축제2022
축제기간,축제지 집중률,0.0,강진청자축제2022
비축제기간,외부방문자 유입,0.0,강진청자축제2022
비축제기간,현지인방문자 유입,0.0,강진청자축제2022
비축제기간,내비게이션 검색량,0.0,강진청자축제2022
비축제기간,관광소비,0.0,강진청자축제2022
비축제기간,축제지 집중률,0.0,강진청자축제2022
축제기간,외부방문자 유입,0.5293038523188306,강진청자축제2019
축제기간,현지인방문자 유입,0.6406627166995831,강진청자축제2019
축제기간,내비게이션 검색량,0.4285714285714286,강진청자축제2019
축제기간,관광소비,0.5338300874713042,강진청자축제2019
축제기간,축제지 집중률,0.7559743908210466,강진청자축제2019
비축제기간,외부방문자 유입,0.2061953078864014,강진청자축제2019
비축제기간,현지인방문자 유입,0.1718784287908711,강진청자축제2019
비축제기간,내비게이션 검색량,0.1910505430242272,강진청자축제2019
비축제기간,관광소비,0.548909891076184,강진청자축제2019
비축제기간,축제지 집중률,0.3178777482838746,강진청자축제2019
축제기간,외부방문자 유입,0.632582603495031,강진청자축제2018
축제기간,현지인방문자 유입,0.8408289241622575,강진청자축제2018
축제기간,내비게이션 검색량,0.3510091017016225,강진청자축제2018
축제기간,관광소비,0.6698716178741735,강진청자축제2018
축제기간,축제지 집중률,0.8242323088716453,강진청자축제2018
비축제기간,외부방문자 유입,0.1601176480226775,강진청자축제2018
비축제기간,현지인방문자 유입,0.2209362139917695,강진청자축제2018
비축제기간,내비게이션 검색량,0.1000197863078749,강진청자축제2018
비축제기간,관광소비,0.4686607287105978,강진청자축제2018
비축제기간,축제지 집중률,0.361778854400716,강진청자축제2018
축제기간,외부방문자 유입,0.7274959727818124,고령대가야축제2023
축제기간,현지인방문자 유입,0.919221411192214,고령대가야축제2023
축제기간,내비게이션 검색량,0.65640674874601,고령대가야축제2023
축제기간,관광소비,0.6848568531453614,고령대가야축제2023
축제기간,축제지 집중률,0.8870855870729236,고령대가야축제2023
비축제기간,외부방문자 유입,0.3769865179094146,고령대가야축제2023
비축제기간,현지인방문자 유입,0.7605109489051095,고령대가야축제2023
비축제기간,내비게이션 검색량,0.2666438668490652,고령대가야축제2023
비축제기간,관광소비,0.6198344744091465,고령대가야축제2023
비축제기간,축제지 집중률,0.6757108395914901,고령대가야축제2023
축제기간,외부방문자 유입,0.6800270518017943,고령대가야축제2022
축제기간,현지인방문자 유입,0.8306056898133986,고령대가야축제2022
축제기간,내비게이션 검색량,0.6132168754119973,고령대가야축제2022
축제기간,관광소비,0.833765150150902,고령대가야축제2022
축제기간,축제지 집중률,0.8110180959146438,고령대가야축제2022
비축제기간,외부방문자 유입,0.3777373053735144,고령대가야축제2022
비축제기간,현지인방문자 유입,0.7608500305903946,고령대가야축제2022
비축제기간,내비게이션 검색량,0.2010547132498352,고령대가야축제2022
비축제기간,관광소비,0.7301219183876274,고령대가야축제2022
비축제기간,축제지 집중률,0.675251714284201,고령대가야축제2022
축제기간,외부방문자 유입,0.6213223329895726,고령대가야축제2019
축제기간,현지인방문자 유입,0.9376319493314568,고령대가야축제2019
축제기간,내비게이션 검색량,0.4436141304347826,고령대가야축제2019
축제기간,관광소비,0.6569431333780671,고령대가야축제2019
축제기간,축제지 집중률,0.9043700995529717,고령대가야축제2019
비축제기간,외부방문자 유입,0.3241351552652687,고령대가야축제2019
비축제기간,현지인방문자 유입,0.8043741203377903,고령대가야축제2019
비축제기간,내비게이션 검색량,0.2257557744565217,고령대가야축제2019
비축제기간,관광소비,0.6438572434064702,고령대가야축제2019
비축제기간,축제지 집중률,0.6231964479002174,고령대가야축제2019
축제기간,외부방문자 유입,0.5296110549862895,고령대가야축제2018
축제기간,현지인방문자 유입,0.9229802513464992,고령대가야축제2018
축제기간,내비게이션 검색량,0.46484375,고령대가야축제2018
축제기간,관광소비,0.501852097362916,고령대가야축제2018
축제기간,축제지 집중률,0.930595012673899,고령대가야축제2018
비축제기간,외부방문자 유입,0.3248374885745899,고령대가야축제2018
비축제기간,현지인방문자 유입,0.7989452423698384,고령대가야축제2018
비축제기간,내비게이션 검색량,0.2708565848214285,고령대가야축제2018
비축제기간,관광소비,0.506533322220396,고령대가야축제2018
비축제기간,축제지 집중률,0.6845130234980231,고령대가야축제2018
축제기간,외부방문자 유입,0.5203538407856039,곡성세계장미축제2023
축제기간,현지인방문자 유입,0.7805705474171164,곡성세계장미축제2023
축제기간,내비게이션 검색량,0.427351164797239,곡성세계장미축제2023
축제기간,관광소비,0.6280574677674642,곡성세계장미축제2023
축제기간,축제지 집중률,0.8797230560785831,곡성세계장미축제2023
비축제기간,외부방문자 유입,0.1032140072778026,곡성세계장미축제2023
비축제기간,현지인방문자 유입,0.4861218195836546,곡성세계장미축제2023
비축제기간,내비게이션 검색량,0.1436367558239862,곡성세계장미축제2023
비축제기간,관광소비,0.422566995209939,곡성세계장미축제2023
비축제기간,축제지 집중률,0.3702187948554648,곡성세계장미축제2023
축제기간,외부방문자 유입,0.4226980405664804,곡성세계장미축제2022
축제기간,현지인방문자 유입,0.6084362570651036,곡성세계장미축제2022
축제기간,내비게이션 검색량,0.4345939800131649,곡성세계장미축제2022
축제기간,관광소비,0.7280264603055301,곡성세계장미축제2022
축제기간,축제지 집중률,0.8635298196980853,곡성세계장미축제2022
비축제기간,외부방문자 유입,0.1636319182705045,곡성세계장미축제2022
비축제기간,현지인방문자 유입,0.5183101825278383,곡성세계장미축제2022
비축제기간,내비게이션 검색량,0.1972319758474715,곡성세계장미축제2022
비축제기간,관광소비,0.5586677482146923,곡성세계장미축제2022
비축제기간,축제지 집중률,0.4923643481852679,곡성세계장미축제2022
축제기간,외부방문자 유입,0.5290700190512031,곡성세계장미축제2019
축제기간,현지인방문자 유입,0.5913279132791328,곡성세계장미축제2019
축제기간,내비게이션 검색량,0.315079365079365,곡성세계장미축제2019
축제기간,관광소비,0.697391584213783,곡성세계장미축제2019
축제기간,축제지 집중률,0.920455115152379,곡성세계장미축제2019
비축제기간,외부방문자 유입,0.1370131359221017,곡성세계장미축제2019
비축제기간,현지인방문자 유입,0.3235772357723577,곡성세계장미축제2019
비축제기간,내비게이션 검색량,0.2030483405483405,곡성세계장미축제2019
비축제기간,관광소비,0.4991702234044577,곡성세계장미축제2019
비축제기간,축제지 집중률,0.4232400327285162,곡성세계장미축제2019
축제기간,외부방문자 유입,0.5462605875961232,곡성세계장미축제2018
축제기간,현지인방문자 유입,0.7435571687840291,곡성세계장미축제2018
축제기간,내비게이션 검색량,0.4767247915087187,곡성세계장미축제2018
축제기간,관광소비,0.7014291488775972,곡성세계장미축제2018
축제기간,축제지 집중률,0.9430465195009992,곡성세계장미축제2018
비축제기간,외부방문자 유입,0.0936589552366616,곡성세계장미축제2018
비축제기간,현지인방문자 유입,0.3811025408348457,곡성세계장미축제2018
비축제기간,내비게이션 검색량,0.1399355572403335,곡성세계장미축제2018
비축제기간,관광소비,0.4175126748185482,곡성세계장미축제2018
비축제기간,축제지 집중률,0.4236028229126618,곡성세계장미축제2018
축제기간,외부방문자 유입,0.7633302320005125,관악강감찬축제2023
축제기간,현지인방문자 유입,0.8458097928436912,관악강감찬축제2023
축제기간,내비게이션 검색량,0.754930966469428,관악강감찬축제2023
축제기간,관광소비,0.3652011158928699,관악강감찬축제2023
축제기간,축제지 집중률,0.9039138704089976,관악강감찬축제2023
비축제기간,외부방문자 유입,0.6847773564705552,관악강감찬축제2023
비축제기간,현지인방문자 유입,0.7072789155681104,관악강감찬축제2023
비축제기간,내비게이션 검색량,0.3905325443786982,관악강감찬축제2023
비축제기간,관광소비,0.3743560713468901,관악강감찬축제2023
비축제기간,축제지 집중률,0.8025355696463163,관악강감찬축제2023
축제기간,외부방문자 유입,0.7916222154647334,관악강감찬축제2022
축제기간,현지인방문자 유입,0.9409722222222222,관악강감찬축제2022
