,Festival,name_year,month,year,visitors,cost,date,visit/cost,target
57,대전사이언스페스티벌,대전사이언스페스티벌2018,10,2018,181305,1215000000.0,2018-10-01,0.00014922222222222222,family
58,대전사이언스페스티벌,대전사이언스페스티벌2019,10,2019,170835,1160000000.0,2019-10-01,0.00014727155172413793,family
59,대전사이언스페스티벌,대전사이언스페스티벌2022,10,2022,211322,1160000000.0,2022-10-01,0.0001821741379310345,family
60,대전사이언스페스티벌,대전사이언스페스티벌2023,10,2023,166751,1500000000.0,2023-10-01,0.00011116733333333334,family
61,대전효문화뿌리축제,대전효문화뿌리축제2018,10,2018,113854,829284800.0,2018-10-01,0.0001372917964974156,old
62,대전효문화뿌리축제,대전효문화뿌리축제2019,9,2019,151684,799324450.0,2019-09-01,0.00018976524488898094,old
63,대전효문화뿌리축제,대전효문화뿌리축제2022,10,2022,125565,815996600.0,2022-10-01,0.00015387931763441171,old
64,대전효문화뿌리축제,대전효문화뿌리축제2023,10,2023,124542,1192258000.0,2023-10-01,0.00010445893422396831,old
65,동래읍성역사축제,동래읍성역사축제2018,10,2018,202162,485000000.0,2018-10-01,0.00041682886597938147,old
66,동래읍성역사축제,동래읍성역사축제2019,10,2019,215114,446460000.0,2019-10-01,0.00048182143977064016,old
67,동래읍성역사축제,동래읍성역사축제2022,10,2022,216774,585438000.0,2022-10-01,0.0003702766134073975,old
68,동래읍성역사축제,동래읍성역사축제2023,10,2023,196352,631264000.0,2023-10-01,0.0003110457748263801,old
69,목포항구축제,목포항구축제2018,10,2018,51258,602750000.0,2018-10-01,8.504023226876814e-05,old
70,목포항구축제,목포항구축제2019,10,2019,89647,615000000.0,2019-10-01,0.00014576747967479675,old
71,목포항구축제,목포항구축제2022,10,2022,97166,797501000.0,2022-10-01,0.00012183809173906992,old
72,목포항구축제,목포항구축제2023,10,2023,83906,968421400.0,2023-10-01,8.664203413927036e-05,old
73,무주반딧불축제,무주반딧불축제2018,9,2018,177496,2849963580.0,2018-09-01,6.228009411965889e-05,family
74,무주반딧불축제,무주반딧불축제2019,8,2019,145402,2376270290.0,2019-08-01,6.118916716330279e-05,family
75,무주반딧불축제,무주반딧불축제2022,8,2022,174024,2199319210.0,2022-08-01,7.912630381653421e-05,family
