,축제명,도,시군구,읍면동,개최년도,개최시작일자,개최종료일자,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,총비용,사업수익,순원가
38,음성품바축제,충청북도,음성군,음성읍,2023,20230412.0,20230731.0,5.0,106527.0,78421.0,82.0,185030.0,37006.0,1014938760.0,0.0,1014938760.0
39,지용제,충청북도,옥천군,옥천읍,2018,20180510.0,20180513.0,4.0,99119.0,53603.0,60.0,152782.0,38195.5,326000000.0,0.0,326000000.0
40,지용제,충청북도,옥천군,옥천읍,2019,20190509.0,20190512.0,4.0,103208.0,71134.0,76.0,174418.0,43604.5,326000000.0,0.0,326000000.0
41,지용제,충청북도,옥천군,옥천읍,2021,20211014.0,20211017.0,4.0,,,,,,331373160.0,0.0,331373160.0
42,지용제,충청북도,옥천군,옥천읍,2022,20220411.0,20221130.0,4.0,119926.0,65540.0,34.0,185500.0,46375.0,349981150.0,30000000.0,319981150.0
43,지용제,충청북도,옥천군,옥천읍,2023,20230510.0,20231130.0,4.0,114939.0,69600.0,45.0,184584.0,46146.0,450290000.0,25000000.0,425290000.0
44,천안흥타령축제,충청남도,천안시,서북구,2018,20180912.0,20180916.0,5.0,141008.0,173032.0,1444.0,315484.0,63096.8,2547171521.0,400000000.0,2147171521.0
45,천안흥타령축제,충청남도,천안시,서북구,2019,20190924.0,20190929.0,5.0,83362.0,49948.0,231.0,133541.0,26708.2,2537534464.0,350000000.0,2187534464.0
46,천안흥타령축제,충청남도,천안시,서북구,2021,20210929.0,20211003.0,5.0,,,,,,996906954.0,0.0,996906954.0
47,천안흥타령축제,충청남도,천안시,서북구,2022,20220921.0,20220925.0,5.0,112893.0,75921.0,73.0,188887.0,37777.4,2495703972.0,300000000.0,2195703972.0
48,천안흥타령축제,충청남도,천안시,서북구,2023,20231005.0,20231009.0,5.0,106685.0,76898.0,411.0,183994.0,36798.8,2906180089.0,0.0,2906180089.0
49,한산모시문화제,충청남도,서천군,한산면,2018,20180622.0,20180625.0,4.0,20801.0,19163.0,15.0,39979.0,9994.75,1082710030.0,170000000.0,912710030.0
50,한산모시문화제,충청남도,서천군,한산면,2019,20190607.0,20190610.0,4.0,19404.0,18231.0,55.0,37690.0,9422.5,1193000000.0,110000000.0,1083000000.0
51,한산모시문화제,충청남도,서천군,한산면,2021,20210611.0,20210613.0,3.0,,,,,,1007375000.0,45450000.0,961925000.0
52,한산모시문화제,충청남도,서천군,한산면,2022,20220610.0,20220612.0,3.0,21062.0,17472.0,4.0,38538.0,12846.0,1461548430.0,45000000.0,1416548430.0
53,한산모시문화제,충청남도,서천군,한산면,2023,20230609.0,20230611.0,3.0,14713.0,15316.0,1.0,30030.0,10010.0,831449000.0,0.0,831449000.0
